model,chassis_number,engine_number,color
LX100CCKS,1262351,1233778,pink
LX100CCKS,1262352,1233779,red
LX100CCKS,1262353,1233780,yellow
LX100CCKS,1262354,1233781,pink
LX100CCKS,1262355,1233782,red
LX100CCKS,1262356,1233783,pink
LX100CCKS,1262357,1233784,red
LX100CCKS,1262358,1233785,yellow
LX100CCKS,1262359,1233786,pink
LX100CCKS,1262360,1233787,red
LX100CCKS,1262361,1233788,pink
LX100CCKS,1262362,1233789,red
LX100CCKS,1262363,1233790,yellow
LX100CCKS,1262364,1233791,pink
LX100CCKS,1262365,1233792,red
LX100CCKS,1262366,1233793,pink
LX100CCKS,1262367,1233794,red
LX100CCKS,1262368,1233795,yellow
LX100CCKS,1262369,1233796,pink
LX100CCKS,1262370,1233797,red
LX100CCKS,1262371,1233798,pink
LX100CCKS,1262372,1233799,red
LX100CCKS,1262373,1233800,yellow
LX100CCKS,1262374,1233801,pink
